patient_id,owner_id,owner_name,pet_type,breed,patient_name,gender,patient_age,date_registration,owner_phone
cat_6099,8599,Nancy Gillespie,Cat,Uknown,Toby,Male,18,2024-09-15,00447000320410
cat_1386,8951,Mariah Sandoval DDS,Cat,Uknown,Thor,Male,4,2024-04-12,00447494534773
dog_2673,1800,Mr. Brian Vega,Dog,Uknown,Thor,Male,15,2024-09-11,00447849486728
cat_7924,7708,Steven Shaw,Cat,Uknown,Thor,Male,17,2024-04-26,00447456194756
cat_8183,1221,Karen Bailey,Cat,Uknown,Toby,Male,13,2024-07-17,00447134108267
dog_831,2120,Brianna Rodriguez,Dog,Uknown,Bear,Male,12,2024-10-17,00447971894991
dog_3924,9846,Anita Smith,Dog,Uknown,Coco,Female,14,2024-05-30,00447318194902
hamster_5257,3949,Matthew Cantrell,Hamster,Uknown,Coco,Male,3,2024-07-11,00447520569943
cat_9038,9337,Rebecca Moreno,Cat,Uknown,Elsa,Female,2,2024-09-30,00447289153318
dog_6788,1455,Samantha Phillips,Dog,Uknown,Luna,Female,2,2024-06-27,00447850484008
dog_9272,9778,Jaclyn Yates,Dog,Uknown,Maya,Female,9,2024-02-19,00447267252964
hamster_6069,1417,Christopher Guzman,Hamster,Uknown,Milo,Male,1,2024-08-03,00447045917096
hamster_8684,2543,Corey Johnson,Hamster,Uknown,Oreo,Male,2,2024-08-18,00447891306858
hamster_6738,6037,Aaron Cox,Hamster,Uknown,Roxy,Female,1,2024-09-07,00447699829288
hamster_9428,3801,Michelle Patrick,Hamster,Uknown,Roxy,Female,3,2024-03-01,00447913318911
hamster_7390,3596,Sonya Davis,Hamster,Uknown,Ruby,Female,2,2024-08-29,00447575706102
hamster_9149,7016,Steven Rojas,Hamster,Uknown,Ruby,Female,3,2024-08-06,00447978706573
dog_3198,7757,Christian Washington,Dog,Uknown,Thor,Male,9,2024-01-15,00447495653702
cat_8013,7819,Cassie Andrews,Cat,Uknown,Toby,Male,15,2024-02-21,00447188715908
hamster_711,9677,Makayla Morris,Hamster,Uknown,Tofu,Male,2,2024-07-21,00447791641783
hamster_1969,3065,Brian Moore,Hamster,Uknown,Alfie,Male,3,2024-04-02,00447776395058
hamster_7342,3977,Stephanie Herring,Hamster,Uknown,Bella,Female,3,2024-07-30,00447842328597
hamster_8680,4836,Breanna Tran,Hamster,Uknown,Bella,Female,3,2024-10-05,00447392558539
dog_9288,1926,Mrs. Bianca Wang,Dog,Uknown,Bella,Female,14,2024-03-21,00447528681784
hamster_5962,7229,Catherine Schmidt,Hamster,Uknown,Benny,Male,2,2024-02-01,00447517481845
hamster_8713,3756,Beth Miller,Hamster,Uknown,Bella,Female,2,2024-06-09,00447289491577
hamster_93,8593,Gregory Gilmore,Hamster,Uknown,Benny,Male,2,2024-01-01,00447535585944
hamster_1485,7530,Amy Ford,Hamster,Uknown,Chloe,Female,2,2024-08-31,00447706478464
cat_2314,6258,Charles Smith,Cat,Uknown,Chloe,Female,20,2024-05-01,00447002326005
hamster_2584,1683,Anthony Hunt,Hamster,Uknown,Chloe,Female,3,2024-01-29,00447518928878
hamster_2995,3667,Shannon Garcia,Hamster,Uknown,Chloe,Female,2,2024-08-26,00447559480260
hamster_3699,2120,Brianna Rodriguez,Hamster,Uknown,Daisy,Female,3,2024-07-28,00447971894991
cat_5005,9276,Mike Hernandez,Cat,Uknown,Daisy,Female,2,2024-12-03,00447018400571
hamster_6523,4646,Donald Sanchez,Hamster,Uknown,Daisy,Female,1,2024-08-02,00447746696742
hamster_3294,4410,Daniel Gibson,Hamster,Uknown,Daisy,Female,1,2024-04-23,00447149974902
cat_5711,2606,Ryan Jackson,Cat,Uknown,Gizmo,Male,10,2024-05-12,00447283466691
hamster_8710,9091,Christopher Moore,Hamster,Uknown,Gizmo,Male,1,2024-04-07,00447682251121
hamster_4815,1157,Matthew Watts,Hamster,Uknown,Gizmo,Male,2,2024-09-01,00447247522016
hamster_2825,9246,Christopher Garcia,Hamster,Uknown,Hazel,Female,3,2024-12-08,00447026411223
cat_3780,4662,Andres Cook PhD,Cat,Uknown,Holly,Female,4,2024-01-03,00447966617365
cat_5226,4913,Austin Warren,Cat,Uknown,Holly,Female,3,2024-09-06,00447933653408
hamster_5455,1036,Carlos Dean,Hamster,Uknown,Lucky,Male,2,2024-11-08,00447873911752
hamster_4072,1234,Jessica Lopez,Hamster,Uknown,Maple,Female,3,2024-04-11,00447169595014
dog_5304,7887,Timothy Yu,Dog,Uknown,Molly,Female,10,2024-12-20,00447637103746
hamster_4275,1371,Elizabeth Hernandez,Hamster,Uknown,Olive,Female,2,2024-07-01,00447104387358
hamster_5841,6899,Kevin Gonzalez,Hamster,Uknown,Ozzie,Male,3,2024-02-20,00447329253296
cat_1263,9994,Savannah Medina,Cat,Uknown,Oscar,Male,6,2024-11-07,00447717310842
hamster_8398,2627,Tonya Odonnell,Hamster,Uknown,Ozzie,Male,2,2024-04-15,00447300782470
dog_6594,2070,Kristin Malone,Dog,Uknown,Penny,Female,1,2024-05-28,00447867782585
cat_406,2142,Ethan Smith,Cat,Uknown,Poppy,Female,4,2024-04-29,00447562488456
cat_2135,9168,Ronald Henson,Cat,Uknown,Poppy,Female,9,2024-04-05,00447424972549
hamster_4957,9502,Laura Washington,Hamster,Uknown,Poppy,Female,2,2024-04-03,00447484132485
dog_4078,1234,Jessica Lopez,Dog,Uknown,Poppy,Female,12,2024-11-14,00447169595014
hamster_4473,4789,Erica Barber,Hamster,Uknown,Poppy,Female,2,2024-04-09,00447237851523
hamster_5505,7393,Eric Bray,Hamster,Uknown,Poppy,Female,1,2024-01-07,00447120290130
dog_4208,7958,Maria Pruitt,Dog,Uknown,Riley,Male,10,2024-05-16,00447084354136
dog_6096,6026,Eric Hernandez,Dog,Uknown,Rocky,Male,12,2024-06-19,00447850546868
hamster_3361,2185,Sharon Martinez,Hamster,Uknown,Rosie,Female,2,2024-05-07,00447192252706
hamster_5859,9751,Seth Lowe,Hamster,Uknown,Rocky,Male,3,2024-04-01,00447559827415
dog_1269,6455,Jason Wright,Dog,Uknown,Rosie,Female,2,2024-05-07,00447737936428
dog_3526,2090,Jessica King,Dog,Uknown,Scout,Male,7,2024-10-16,00447158777622
hamster_3789,9738,Alex Armstrong,Hamster,Uknown,Sugar,Female,2,2024-11-16,00447433518667
hamster_2023,4960,Renee Scott,Hamster,Uknown,Sammy,Male,3,2024-05-21,00447033860849
cat_4687,8924,Lindsay Jones,Cat,Uknown,Scout,Male,2,2024-12-16,00447441119309
hamster_5721,7432,Cassandra Williamson,Hamster,Uknown,Simba,Male,3,2024-12-23,00447076803164
hamster_4873,4156,Mariah Vazquez,Hamster,Uknown,Sugar,Female,1,2024-01-12,00447863963482
cat_2662,2631,Brenda Sherman,Cat,Uknown,Teddy,Male,4,2024-01-24,00447549254093
dog_394,5381,Frederick Ray,Dog,Uknown,Tilly,Female,15,2024-04-28,00447218244685
hamster_2018,7015,Jeremiah Gonzales,Hamster,Uknown,Taffy,Female,2,2024-04-20,00447501853312
dog_4129,2920,Jose Vargas,Dog,Uknown,Teddy,Male,6,2024-04-19,00447550182220
hamster_5170,4861,Steven Lee,Hamster,Uknown,Ziggy,Male,2,2024-04-25,00447689537327
hamster_8592,3525,Robin Young,Hamster,Uknown,Ziggy,Male,1,2024-08-28,00447024644834
hamster_3929,3692,Jade Smith,Hamster,Uknown,Zippy,Male,1,2024-04-09,00447304608669
hamster_3250,4546,Nicholas Davis,Hamster,Uknown,Ziggy,Male,2,2024-05-28,00447658647841
cat_7872,4024,Joseph Conner,Cat,Uknown,Alfie,Male,7,2024-02-02,00447044563768
hamster_8576,3381,Elizabeth Parker,Hamster,Uknown,Angel,Female,3,2024-09-07,00447338176754
cat_1306,1939,Madison Carroll,Cat,Uknown,Bella,Female,16,2024-10-27,00447410908239
cat_3770,4239,Mrs. Kathy Bradley,Cat,Uknown,Bella,Female,20,2024-07-30,00447143924151
dog_4839,6963,Cynthia Hunt,Dog,Uknown,Bella,Female,2,2024-01-19,00447296172603
dog_1286,6189,Jessica Wagner,Dog,Uknown,Buddy,Male,15,2024-05-30,00447465969901
hamster_1205,5235,Glen Weaver,Hamster,Uknown,Daisy,Female,1,2024-08-05,00447308346081
hamster_2495,6176,Jennifer Montoya,Hamster,Uknown,Daisy,Female,2,2024-09-17,00447314191991
hamster_5912,8428,Shawn Burch,Hamster,Uknown,Daisy,Female,2,2024-06-16,00447337702682
hamster_6528,9717,Alicia Gonzalez,Hamster,Uknown,Daisy,Female,2,2024-06-16,00447359871003
hamster_7738,1830,Joseph Larsen,Hamster,Uknown,Daisy,Female,2,2024-05-22,00447755615318
cat_7868,2971,Paul Dean,Cat,Uknown,Dolly,Female,10,2024-07-19,00447508635538
hamster_8791,8938,Mitchell Walls,Hamster,Uknown,Dusty,Male,2,2024-07-17,00447902106940
hamster_9227,1783,Jacob Graham,Hamster,Uknown,Dusty,Male,2,2024-03-11,00447193136287
dog_1272,2233,Mark Villegas,Dog,Uknown,Ellie,Female,12,2024-12-04,00447246866740
hamster_2066,6258,Charles Smith,Hamster,Uknown,Flash,Male,3,2024-05-06,00447002326005
cat_867,3671,Michael Wood,Cat,Uknown,Gizmo,Male,20,2024-08-10,00447330254387
cat_8660,3838,Erica Rubio,Cat,Uknown,Gizmo,Male,18,2024-10-23,00447902528204
hamster_1466,5381,Frederick Ray,Hamster,Uknown,Hazel,Female,2,2024-11-04,00447218244685
hamster_2946,7244,Paul Flores,Hamster,Uknown,Olive,Female,3,2024-10-05,00447728324681
hamster_1445,4138,Kayla Morrison,Hamster,Uknown,Ozzie,Male,3,2024-01-14,00447205720925
cat_5281,5538,Jessica Miller,Cat,Uknown,Poppy,Female,2,2024-10-07,00447094899400
hamster_6495,2288,Rose Brown,Hamster,Uknown,Rocky,Male,2,2024-05-06,00447341995322
dog_7307,7555,Shane Hoover,Dog,Uknown,Rosie,Female,2,2024-09-26,00447111901101
cat_2002,4987,Lance Odom,Cat,Uknown,Sadie,Female,2,2024-01-10,00447113774755
cat_7560,4755,Sherri Huffman,Cat,Uknown,Salem,Male,5,2024-07-09,00447418434518
hamster_4199,2352,Angela Russell,Hamster,Uknown,Sammy,Male,3,2024-10-08,00447774288448
hamster_4356,1454,William Foley,Hamster,Uknown,Sammy,Male,3,2024-03-15,00447763896241
cat_1350,1307,Mark Gray,Cat,Uknown,Sasha,Female,17,2024-04-11,00447149359259
hamster_1726,5301,Katie Harper,Hamster,Uknown,Sasha,Female,1,2024-08-11,00447782690367
hamster_5029,3154,Jennifer Page,Hamster,Uknown,Sasha,Female,3,2024-11-14,00447624351534
cat_1039,2974,Amy Rivera,Cat,Uknown,Scout,Male,13,2024-09-15,00447100395000
cat_7054,5593,Lindsay Johnson,Cat,Uknown,Simba,Male,7,2024-02-11,00447379914767
dog_9122,7316,Catherine Schwartz,Dog,Uknown,Tilly,Female,12,2024-12-26,00447386219844
dog_8008,1451,Rachel Bauer,Dog,Uknown,Ziggy,Male,11,2024-01-01,00447063978622
dog_2539,5576,Mark Austin,Dog,Uknown,Apollo,Male,10,2024-09-22,00447471967766
hamster_7493,8584,Cheryl Horton,Hamster,Uknown,Barney,Male,3,2024-07-18,00447243582309
dog_3139,7962,Michael Barrett,Dog,Uknown,Baxter,Male,15,2024-05-27,00447231332107
hamster_4632,6438,Erin Simmons,Hamster,Uknown,Cookie,Female,2,2024-03-14,00447675742746
hamster_7050,2276,Adam Young,Hamster,Uknown,Cookie,Female,3,2024-12-16,00447243341834
hamster_1266,1963,Stephanie Herrera,Hamster,Uknown,Dexter,Male,1,2024-05-06,00447140886389
dog_4272,6302,John Wilson,Dog,Uknown,Diesel,Male,10,2024-11-14,00447228907532
dog_8525,1642,Christopher Sweeney,Dog,Uknown,Diesel,Male,11,2024-12-06,00447953483760
hamster_1236,4987,Lance Odom,Hamster,Uknown,Dexter,Male,2,2024-12-04,00447113774755
hamster_6194,3804,Anna Oliver,Hamster,Uknown,Ginger,Female,1,2024-01-19,00447971155404
dog_2953,6217,Curtis Humphrey,Dog,Uknown,Gracie,Female,9,2024-02-15,00447511234475
dog_8511,5500,Alexander Paul,Dog,Uknown,Gracie,Female,10,2024-12-25,00447830343981
hamster_125,2258,Brian Daniels PhD,Hamster,Uknown,Jasper,Male,2,2024-12-25,00447094849462
cat_6286,5501,Wendy Hardin,Cat,Uknown,Jasper,Male,12,2024-10-16,00447002779168
hamster_6412,1130,Sara Sanders,Hamster,Uknown,Jasper,Male,3,2024-03-15,00447876554248
dog_7040,4368,Nancy Kelly,Dog,Uknown,Jasper,Male,14,2024-05-10,00447563171210
hamster_8641,7618,Edward Bradford,Hamster,Uknown,Jasper,Male,1,2024-01-27,00447439652233
hamster_3734,4458,Christina Morrison,Hamster,Uknown,Muffin,Male,2,2024-02-18,00447958547267
hamster_6887,1616,Mckenzie Saunders,Hamster,Uknown,Maggie,Female,1,2024-03-13,00447995425461
hamster_6175,6935,Mario Contreras,Hamster,Uknown,Muffin,Male,2,2024-03-12,00447336380232
hamster_8350,8242,Sandra Brown,Hamster,Uknown,Muffin,Female,3,2024-01-06,00447315629038
dog_2618,4390,Jennifer Davis,Dog,Uknown,Oliver,Male,15,2024-10-24,00447650245571
hamster_4792,4757,Paul Peterson,Hamster,Uknown,Peanut,Male,2,2024-10-09,00447938119649
hamster_1124,2741,Pamela Gonzalez,Hamster,Uknown,Pepper,Male,1,2024-05-19,00447314426626
hamster_5169,5769,Samuel Smith,Hamster,Uknown,Phoebe,Female,3,2024-05-14,00447469922469
hamster_6700,8279,Eric Pacheco,Hamster,Uknown,Pippin,Female,1,2024-02-25,00447529324367
hamster_2014,8761,Breanna Vazquez,Hamster,Uknown,Peanut,Male,3,2024-11-29,00447856440998
hamster_9409,2723,Tammy Hahn,Hamster,Uknown,Peanut,Male,3,2024-09-16,00447345521618
hamster_2026,2675,Jeremy Merritt,Hamster,Uknown,Phoebe,Female,2,2024-01-31,00447177474579
cat_985,5314,Madison Thompson,Cat,Uknown,Smokey,Male,8,2024-12-11,00447299834783
dog_1185,5706,James Blankenship,Dog,Uknown,Sophie,Female,7,2024-02-09,00447265788415
cat_1481,2692,Lonnie Jones,Cat,Uknown,Sophie,Female,7,2024-04-29,00447315733039
cat_2937,7116,David Taylor,Cat,Uknown,Sophie,Female,20,2024-12-20,00447324948601
dog_998,8060,Sue Whitehead,Dog,Uknown,Shadow,Male,10,2024-06-22,00447286819699
cat_2512,4118,Troy Soto,Cat,Uknown,Violet,Female,2,2024-07-31,00447900245852
hamster_1009,6274,Rebecca Huffman,Hamster,Uknown,Cookie,Female,1,2024-09-14,00447435610199
hamster_4232,3581,Laura Stevens MD,Hamster,Uknown,Cookie,Female,2,2024-11-23,00447197512658
hamster_1526,2654,Tamara Scott,Hamster,Uknown,Ginger,Female,3,2024-08-19,00447243486296
cat_8898,9560,Tracey Reed,Cat,Uknown,Hunter,Male,13,2024-04-28,00447590821244
cat_8946,6865,Rose Fritz,Cat,Uknown,Jasper,Male,2,2024-08-01,00447148402451
hamster_8792,3732,Andre Riley DDS,Hamster,Uknown,Maggie,Female,1,2024-10-31,00447456793994
hamster_2534,1237,Mary Melton,Hamster,Uknown,Muffin,Male,1,2024-01-13,00447023317187
hamster_5094,7319,Lance Moss,Hamster,Uknown,Muffin,Male,2,2024-09-18,00447895280721
dog_6799,1476,Ryan Greene,Dog,Uknown,Oliver,Male,15,2024-12-11,00447365372834
hamster_5336,5345,Danielle Peterson,Hamster,Uknown,Peanut,Male,1,2024-08-24,00447960127884
hamster_6888,2181,Kelly Callahan,Hamster,Uknown,Peanut,Male,1,2024-03-14,00447348353092
hamster_7596,2143,Amber Bowen,Hamster,Uknown,Peanut,Male,1,2024-01-06,00447819377198
hamster_6768,6430,Crystal Velez,Hamster,Uknown,Phoebe,Female,2,2024-10-14,00447874381685
cat_1267,6892,Richard Ayala,Cat,Uknown,Shadow,Male,15,2024-03-07,00447316454645
dog_3101,6569,Stephanie Koch,Dog,Uknown,Shadow,Male,12,2024-06-27,00447183604097
hamster_1933,4308,Jessica Thomas,Hamster,Uknown,Speedy,Male,1,2024-10-26,00447165198480
cat_2532,3464,Shannon Benton,Cat,Uknown,Willow,Female,14,2024-12-22,00447749417431
hamster_1581,1599,Julie Burns,Hamster,Uknown,Biscuit,Male,3,2024-02-28,00447534494345
hamster_7055,4317,Sarah Klein,Hamster,Uknown,Biscuit,Male,1,2024-12-09,00447056124722
dog_3926,7958,Maria Pruitt,Dog,Uknown,Charlie,Male,9,2024-01-26,00447084354136
cat_877,4318,Tyler Poole,Cat,Uknown,Cupcake,Female,12,2024-06-21,00447692726502
hamster_7880,2455,Cheryl Evans,Hamster,Uknown,Cupcake,Female,1,2024-04-16,00447137312221
hamster_690,6527,Xavier Silva,Hamster,Uknown,Jasmine,Female,1,2024-06-09,00447698132784
cat_2700,2788,Thomas Zavala,Cat,Uknown,Jasmine,Female,2,2024-02-16,00447273368311
hamster_5903,7587,Shannon Stone,Hamster,Uknown,Jasmine,Female,2,2024-07-22,00447510884477
hamster_727,1640,Barry Simmons,Hamster,Uknown,Marbles,Female,3,2024-04-18,00447042156972
hamster_1775,2796,Jennifer Young,Hamster,Uknown,Marbles,Female,2,2024-06-16,00447459705766
hamster_923,5144,Taylor Walker,Hamster,Uknown,Nibbles,Male,1,2024-05-19,00447306414512
hamster_5183,8899,Jordan Dixon,Hamster,Uknown,Nibbles,Male,3,2024-02-05,00447435813786
hamster_6188,3081,Steve James,Hamster,Uknown,Peaches,Female,3,2024-11-05,00447402915669
hamster_9074,7973,Brandon White,Hamster,Uknown,Pudding,Male,1,2024-05-22,00447654886402
hamster_6672,9005,Mark Cervantes,Hamster,Uknown,Pudding,Female,2,2024-01-05,00447002852204
cat_41,6704,Todd Arias,Cat,Uknown,Pumpkin,Female,19,2024-06-30,00447597996856
hamster_5790,1066,Tina Holloway,Hamster,Uknown,Sweetie,Female,3,2024-07-25,00447547487431
hamster_1960,6206,Gary Carey,Hamster,Uknown,Sweetie,Female,1,2024-07-09,00447318466853
hamster_1744,7398,Aaron Nelson,Hamster,Uknown,Bubbles,Female,2,2024-05-11,00447611200591
dog_814,4424,Sara Lopez,Dog,Uknown,Captain,Male,2,2024-09-28,00447260239912
hamster_8814,2005,Billy Kelly,Hamster,Uknown,Cupcake,Female,1,2024-03-05,00447725135855
hamster_8754,3269,Joseph Jones,Hamster,Uknown,Jasmine,Female,2,2024-09-14,00447648398805
hamster_1168,9168,Ronald Henson,Hamster,Uknown,Marbles,Female,3,2024-02-29,00447424972549
hamster_8658,5773,Kayla Lee,Hamster,Uknown,Marbles,Female,2,2024-05-23,00447851575276
cat_4300,6897,Albert Wells,Cat,Uknown,Peaches,Female,16,2024-11-07,00447169433254
hamster_2326,5278,Carmen Swanson,Hamster,Uknown,Sweetie,Female,1,2024-05-10,00447005807635
hamster_4267,7278,Matthew Howe,Hamster,Uknown,Sweetie,Female,1,2024-01-17,00447836238588
cat_938,9917,Katherine Simpson,Cat,Uknown,Cinnamon,Female,1,2024-11-01,00447542505666
cat_2602,1244,Anna Daniels,Cat,Uknown,Cinnamon,Female,1,2024-02-16,00447721306553
hamster_1277,2693,Thomas Wilson,Hamster,Uknown,Fuzzball,Male,2,2024-01-17,00447209835344
cat_984,7395,Sharon Bowers,Cat,Uknown,Snowball,Female,14,2024-08-08,00447869762515
hamster_6137,7003,William Mcdonald,Hamster,Uknown,Snowball,Female,3,2024-10-05,00447523559410
cat_8086,4922,Angela Wolf,Cat,Uknown,Whiskers,Male,11,2024-12-27,00447625734354
hamster_7496,7455,John Conner,Hamster,Uknown,Snowball,Female,3,2024-09-15,00447530435604
cat_7667,6563,Timothy Klein,Cat,Uknown,Tinkerbell,Female,2,2024-06-04,00447694203980
dog_107,3303,Patricia Rodriguez,Dog,Mix,Ace,Male,5,2024-05-15,00447783609022
dog_1128,8203,Barry Davis,Dog,Mix,Ace,Male,5,2024-12-08,00447341525960
dog_1926,7134,Amber Gallegos,Dog,Mix,Ace,Male,7,2024-10-18,00447226990425
dog_3316,6363,Jeffrey Martinez,Dog,Mix,Ace,Male,13,2024-01-15,00447255744006
dog_4550,9137,Kevin Landry,Dog,Mix,Ace,Male,3,2024-12-19,00447591983543
dog_2945,4905,Kathleen Jackson,Dog,Mix,Ace,Male,14,2024-07-20,00447540850612
dog_3955,2701,Felicia Owen,Dog,Mix,Ace,Male,5,2024-04-26,00447771951801
cat_2267,7361,Dr. Oscar Smith,Cat,Mix,Ash,Male,20,2024-06-08,00447855584746
cat_7275,3093,Matthew Garcia,Cat,Mix,Ash,Male,5,2024-08-03,00447685558003
cat_2072,1006,Colleen Harper,Cat,Mix,Boo,Male,19,2024-02-07,00447141285190
cat_362,9405,Dr. Brandon Galloway,Cat,Mix,Boo,Male,18,2024-06-21,00447700421511
dog_6726,9193,Angela Douglas,Dog,Mix,Gus,Male,8,2024-06-16,00447036783994
dog_778,3994,Danielle Singh,Dog,Mix,Gus,Male,11,2024-09-12,00447882531818
dog_5567,8868,Adam Moore,Dog,Mix,Gus,Male,12,2024-11-24,00447988773834
cat_492,3422,Heather Giles,Cat,Mix,Ivy,Female,14,2024-01-05,00447890559139
cat_8974,1563,Jessica Zavala,Cat,Mix,Ivy,Female,13,2024-02-11,00447315806673
cat_1814,3103,Jessica Patel,Cat,Mix,Ivy,Female,5,2024-12-02,00447493291347
cat_3468,4655,Mr. David Bryant,Cat,Mix,Ivy,Female,2,2024-05-04,00447292318692
hamster_859,8060,Sue Whitehead,Hamster,Mix,Leo,Male,3,2024-02-16,00447286819699
cat_1234,6204,Eric Potts,Cat,Mix,Leo,Male,4,2024-05-07,00447428143998
hamster_2138,6666,Bill Rose,Hamster,Mix,Leo,Male,2,2024-07-06,00447494870661
hamster_5048,9204,William Myers,Hamster,Mix,Leo,Male,1,2024-07-08,00447290864687
cat_5188,7853,Jill Goodman,Cat,Mix,Leo,Male,4,2024-02-06,00447222214948
dog_4237,1232,Jonathan Murphy,Dog,Mix,Leo,Male,2,2024-03-22,00447084404045
dog_5497,3572,Russell Bird,Dog,Mix,Leo,Male,12,2024-09-30,00447697250044
hamster_6124,8742,Timothy Jones,Hamster,Mix,Leo,Male,2,2024-07-14,00447172778356
hamster_8273,1195,Brooke Wright,Hamster,Mix,Leo,Male,3,2024-09-13,00447191722795
hamster_1147,3064,Charles Skinner,Hamster,Mix,Max,Male,3,2024-03-23,00447703646699
cat_5587,6844,Priscilla Ferguson,Cat,Mix,Max,Male,1,2024-12-14,00447336690621
cat_6007,1419,Stephanie Wright,Cat,Mix,Max,Male,9,2024-11-18,00447350124254
hamster_8457,6964,Amanda Lambert,Hamster,Mix,Max,Male,3,2024-01-19,00447114280844
dog_3458,4287,Andrea Clark,Dog,Mix,Mia,Female,11,2024-04-03,00447801350412
